id,city_name,city_state
1,New York,NY
2,Los Angeles,CA
3,Chicago,IL
4,Miami,FL
5,Dallas,TX
6,Houston,TX
7,Philadelphia,PA
8,Atlanta,GA
9,Washington,DC
10,Boston,MA
11,Phoenix,AZ
12,Detroit,MI
13,Seattle,WA
14,San Francisco,CA
15,San Diego,CA
16,Minneapolis,MN
17,Brooklyn,NY
18,Tampa,FL
19,Denver,CO
20,Queens,NY
21,Baltimore,MD
22,Las Vegas,NV
23,St. Louis,MO
24,Portland,OR
25,Riverside,CA
26,Orlando,FL
27,Sacramento,CA
28,San Juan,PR
29,San Antonio,TX
30,San Jose,CA
31,Pittsburgh,PA
32,Cincinnati,OH
33,Manhattan,NY
34,Cleveland,OH
35,Indianapolis,IN
36,Austin,TX
37,Kansas City,MO
38,Columbus,OH
39,Charlotte,NC
40,Virginia Beach,VA
41,Bronx,NY
42,Milwaukee,WI
43,Providence,RI
44,Jacksonville,FL
45,Salt Lake City,UT
46,Nashville,TN
47,Raleigh,NC
48,Memphis,TN
49,Louisville,KY
50,Richmond,VA
51,Buffalo,NY
52,Oklahoma City,OK
53,Bridgeport,CT
54,New Orleans,LA
55,Fort Worth,TX
56,Hartford,CT
57,Tucson,AZ
58,Honolulu,HI
59,McAllen,TX
60,Omaha,NE
61,El Paso,TX
62,Albuquerque,NM
63,Rochester,NY
64,Sarasota,FL
65,Fresno,CA
66,Tulsa,OK
67,Allentown,PA
68,Dayton,OH
69,Birmingham,AL
70,Charleston,SC
71,Cape Coral,FL
72,Columbia,SC
73,Concord,CA
74,Colorado Springs,CO
75,Springfield,MA
76,Knoxville,TN
77,Baton Rouge,LA
78,Ogden,UT
79,Grand Rapids,MI
80,Albany,NY
81,Bakersfield,CA
82,Mission Viejo,CA
83,New Haven,CT
84,Worcester,MA
85,Provo,UT
86,Akron,OH
87,Palm Bay,FL
88,Des Moines,IA
89,Murrieta,CA
90,Mesa,AZ
91,Staten Island,NY
92,Wichita,KS
93,Toledo,OH
94,Harrisburg,PA
95,Port St. Lucie,FL
96,Long Beach,CA
97,Reno,NV
98,Madison,WI
99,Little Rock,AR
100,Greenville,SC
101,Denton,TX
102,Spokane,WA
103,Oakland,CA
104,Lancaster,PA
105,Poughkeepsie,NY
106,Boise,ID
107,Winston-Salem,NC
108,Syracuse,NY
109,Augusta,GA
110,Stockton,CA
111,Palm Coast,FL
112,Chattanooga,TN
113,Kissimmee,FL
114,Durham,NC
115,Arlington,TX
116,Victorville,CA
117,Aurora,CO
118,Modesto,CA
119,Lancaster,CA
120,Fayetteville,AR
121,Scranton,PA
122,Oxnard,CA
123,Youngstown,OH
124,Indio,CA
125,Pensacola,FL
126,Anaheim,CA
127,Bonita Springs,FL
128,Greensboro,NC
129,Huntsville,AL
130,Corpus Christi,TX
131,Fort Wayne,IN
132,Fayetteville,NC
133,Ann Arbor,MI
134,Jackson,MS
135,Antioch,CA
136,Mobile,AL
137,Lexington,KY
138,Asheville,NC
139,Trenton,NJ
140,Santa Rosa,CA
141,Santa Ana,CA
142,Lansing,MI
143,Henderson,NV
144,St. Paul,MN
145,Lakeland,FL
146,Newark,NJ
147,Fort Collins,CO
148,Reading,PA
149,Springfield,MO
150,Irvine,CA
151,Anchorage,AK
152,The Woodlands,TX
153,South Bend,IN
154,Rockford,IL
155,Savannah,GA
156,Lincoln,NE
157,Jersey City,NJ
158,Round Lake Beach,IL
159,Flint,MI
160,Shreveport,LA
161,Plano,TX
162,Myrtle Beach,SC
163,Davenport,IA
164,Canton,OH
165,Santa Clarita,CA
166,Chula Vista,CA
167,Eugene,OR
168,Chandler,AZ
169,Salem,OR
170,Concord,NC
171,Gilbert,AZ
172,Columbus,GA
173,Aguadilla,PR
174,Lubbock,TX
175,North Las Vegas,NV
176,St. Petersburg,FL
177,Tallahassee,FL
178,Laredo,TX
179,Peoria,IL
180,Avondale,AZ
181,Lafayette,LA
182,Irving,TX
183,Montgomery,AL
184,Visalia,CA
185,McKinney,TX
186,Wilmington,NC
187,Chesapeake,VA
188,Glendale,AZ
189,Garland,TX
190,Kennewick,WA
191,Winter Haven,FL
192,Scottsdale,AZ
193,Norfolk,VA
194,Killeen,TX
195,York,PA
196,Atlantic City,NJ
197,Nashua,NH
198,Arlington,VA
199,Brownsville,TX
200,Fremont,CA
201,Gulfport,MS
202,Evansville,IN
203,Hialeah,FL
204,Navarre,FL
205,Bel Air South,MD
206,North Port,FL
207,San Bernardino,CA
208,Portland,ME
209,Enterprise,NV
210,Bremerton,WA
211,Green Bay,WI
212,Appleton,WI
213,Spring Valley,NV
214,Tacoma,WA
215,Spartanburg,SC
216,Roanoke,VA
217,Gainesville,FL
218,Deltona,FL
219,Kalamazoo,MI
220,Thousand Oaks,CA
221,Hickory,NC
222,Yonkers,NY
223,Moreno Valley,CA
224,Fontana,CA
225,College Station,TX
226,Fargo,ND
227,Amarillo,TX
228,Norwich,CT
229,Olympia,WA
230,Waterbury,CT
231,Salinas,CA
232,Huntington,WV
233,Huntington Beach,CA
234,Clarksville,TN
235,Santa Barbara,CA
236,Glendale,CA
237,Sunrise Manor,NV
238,Grand Prairie,TX
239,Overland Park,KS
240,Hagerstown,MD
241,Nampa,ID
242,Gastonia,NC
243,Frisco,TX
244,Cedar Rapids,IA
245,Hemet,CA
246,Paradise,NV
247,Sioux Falls,SD
248,Vancouver,WA
249,Peoria,AZ
250,Waco,TX
251,Lorain,OH
252,Erie,PA
253,Newport News,VA
254,Aurora,IL
255,Fort Lauderdale,FL
256,Vallejo,CA
257,Murfreesboro,TN
258,Spring Hill,FL
259,Tempe,AZ
260,High Point,NC
261,Medford,OR
262,Danbury,CT
263,Elk Grove,CA
264,Ontario,CA
265,Frederick,MD
266,Vero Beach South,FL
267,Ocala,FL
268,Oceanside,CA
269,Rancho Cucamonga,CA
270,Garden Grove,CA
271,Cary,NC
272,Pembroke Pines,FL
273,Bayamón,PR
274,Palmdale,CA
275,Manchester,NH
276,Lafayette,IN
277,Santa Cruz,CA
278,Marysville,WA
279,Muskegon,MI
280,Springfield,IL
281,Hayward,CA
282,New Bedford,MA
283,Alexandria,VA
284,Paterson,NJ
285,Corona,CA
286,Merced,CA
287,Warner Robins,GA
288,Port Arthur,TX
289,Macon,GA
290,Kansas City,KS
291,Lakewood,CO
292,Sunnyvale,CA
293,Fredericksburg,VA
294,Leesburg,FL
295,Champaign,IL
296,Hollywood,FL
297,Pasadena,TX
298,Pomona,CA
299,Escondido,CA
300,Joliet,IL
